,smiles,mol,inchi,inchikey
0,CN(CCCN1c2ccccc2CCc2c1cc(Cl)cc2)C,<rdkit.Chem.rdchem.Mol object at 0x7f1ecf777080>,"InChI=1S/C19H23ClN2/c1-21(2)12-5-13-22-18-7-4-3-6-15(18)8-9-16-10-11-17(20)14-19(16)22/h3-4,6-7,10-11,14H,5,8-9,12-13H2,1-2H3",GDLIGKIOYRNHDA-UHFFFAOYSA-N
1,CC/C(=C(\\c1ccc(cc1)O)/CC)/c1ccc(cc1)O,<rdkit.Chem.rdchem.Mol object at 0x7f1ecf777a80>,"InChI=1S/C18H20O2/c1-3-17(13-5-9-15(19)10-6-13)18(4-2)14-7-11-16(20)12-8-14/h5-12,19-20H,3-4H2,1-2H3/b18-17+",RGLYKWWBQGJZGM-ISLYRVAYSA-N
2,CCc1nc(N)nc(c1c1ccc(cc1)Cl)N,<rdkit.Chem.rdchem.Mol object at 0x7f1ecf777ad0>,"InChI=1S/C12H13ClN4/c1-2-9-10(11(14)17-12(15)16-9)7-3-5-8(13)6-4-7/h3-6H,2H2,1H3,(H4,14,15,16,17)",WKSAUQYGYAYLPV-UHFFFAOYSA-N
3,CNCCC(c1ccccc1)Oc1ccc(cc1)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f1ecf777d50>,"InChI=1S/C17H18F3NO/c1-21-12-11-16(13-5-3-2-4-6-13)22-15-9-7-14(8-10-15)17(18,19)20/h2-10,16,21H,11-12H2,1H3",RTHCYVBBDHJXIQ-UHFFFAOYSA-N
4,O=C(c1ccccc1)/C=C/c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f1ecf777b20>,InChI=1S/C15H12O/c16-15(14-9-5-2-6-10-14)12-11-13-7-3-1-4-8-13/h1-12H/b12-11+,DQFBYFPFKXHELB-VAWYXSNFSA-N
5,CCC(=C)C(=O)c1ccc(c(c1Cl)Cl)OCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f1ed76c8850>,"InChI=1S/C13H12Cl2O4/c1-3-7(2)13(18)8-4-5-9(12(15)11(8)14)19-6-10(16)17/h4-5H,2-3,6H2,1H3,(H,16,17)",AVOLMBLBETYQHX-UHFFFAOYSA-N
6,NC(=N)c1ccc(cc1)OCCCCCOc1ccc(cc1)C(=N)N,<rdkit.Chem.rdchem.Mol object at 0x7f1ecf7711c0>,"InChI=1S/C19H24N4O2/c20-18(21)14-4-8-16(9-5-14)24-12-2-1-3-13-25-17-10-6-15(7-11-17)19(22)23/h4-11H,1-3,12-13H2,(H3,20,21)(H3,22,23)",XDRYMKDFEDOLFX-UHFFFAOYSA-N
7,CCCCNC(=N)c1ccc(cc1)N1CCCN(CC1)c1ccc(cc1)C(=N)NCCCC,<rdkit.Chem.rdchem.Mol object at 0x7f1ecf771670>,"InChI=1S/C27H40N6/c1-3-5-16-30-26(28)22-8-12-24(13-9-22)32-18-7-19-33(21-20-32)25-14-10-23(11-15-25)27(29)31-17-6-4-2/h8-15H,3-7,16-21H2,1-2H3,(H2,28,30)(H2,29,31)",QUYQIACDGIMYCS-UHFFFAOYSA-N
8,N=C(c1ccc(cc1)N1CCCN(CC1)c1ccc(cc1)C(=N)NC1CC1)NC1CC1,<rdkit.Chem.rdchem.Mol object at 0x7f1ecf771080>,"InChI=1S/C25H32N6/c26-24(28-20-6-7-20)18-2-10-22(11-3-18)30-14-1-15-31(17-16-30)23-12-4-19(5-13-23)25(27)29-21-8-9-21/h2-5,10-13,20-21H,1,6-9,14-17H2,(H2,26,28)(H2,27,29)",UHYHEMDZZSTUQM-UHFFFAOYSA-N
9,OCCNC(=N)c1ccc(cc1)N1CCCN(CC1)c1ccc(cc1)/C(=N/CCO)/N,<rdkit.Chem.rdchem.Mol object at 0x7f1ecf771a80>,"InChI=1S/C23H32N6O2/c24-22(26-10-16-30)18-2-6-20(7-3-18)28-12-1-13-29(15-14-28)21-8-4-19(5-9-21)23(25)27-11-17-31/h2-9,30-31H,1,10-17H2,(H2,24,26)(H2,25,27)",DADMNFYLPGROKK-UHFFFAOYSA-N
10,C1CN=C(N1)c1ccc(cc1)N1CCN(CC1)c1ccc(cc1)C1=NCCN1,<rdkit.Chem.rdchem.Mol object at 0x7f1ecf771bc0>,"InChI=1S/C22H26N6/c1-5-19(6-2-17(1)21-23-9-10-24-21)27-13-15-28(16-14-27)20-7-3-18(4-8-20)22-25-11-12-26-22/h1-8H,9-16H2,(H,23,24)(H,25,26)",SBVUTMQIJNCYIG-UHFFFAOYSA-N
11,C1CN(CCN(C1)c1ccc(cc1)C1=NCCN1)c1ccc(cc1)C1=NCCN1,<rdkit.Chem.rdchem.Mol object at 0x7f1ed85fbb70>,"InChI=1S/C23H28N6/c1-14-28(20-6-2-18(3-7-20)22-24-10-11-25-22)16-17-29(15-1)21-8-4-19(5-9-21)23-26-12-13-27-23/h2-9H,1,10-17H2,(H,24,25)(H,26,27)",LGBPUWVGKYAELY-UHFFFAOYSA-N
12,O=C(C1C[C@H]1C(=O)Nc1ccc(cc1)C1=NCCN1)Nc1ccc(cc1)C1=NCCN1,<rdkit.Chem.rdchem.Mol object at 0x7f1ed85fb3a0>,"InChI=1S/C23H24N6O2/c30-22(28-16-5-1-14(2-6-16)20-24-9-10-25-20)18-13-19(18)23(31)29-17-7-3-15(4-8-17)21-26-11-12-27-21/h1-8,18-19H,9-13H2,(H,24,25)(H,26,27)(H,28,30)(H,29,31)/t18-,19?/m1/s1",CTIFZAYADDLTTD-MRTLOADZSA-N
